,title,studio,domestic_gross,foreign_gross,year,genre_ids,id,popularity,release_date,vote_average,vote_count
1126,NowHere,,,,,[99],104762,1.4,2010-09-10,4.5,2
1127,GravyTrain,,,,,[35],66157,1.4,2010-01-01,4.5,2
1128,The Black Eyed Peas: The E.N.D. World Tour Live,,,,,[10402],51968,1.4,2010-03-30,4.5,2
1129,Wushu Warrior,,,,,"[28, 12]",45375,1.4,2010-01-01,4.5,6
1130,American Cowslip,,,,,[35],44700,1.4,2009-07-24,4.3,6
1131,The Wishing Well,,,,,"[18, 10770]",112806,1.4,2010-01-09,4.2,3
1132,Daylight Fades,,,,,[18],79421,1.4,2010-10-29,4.0,4
1133,LEGO Atlantis,,,,,[16],76324,1.4,2010-01-15,3.5,4
1134,D4,,,,,"[28, 27, 53, 878]",50038,1.4,2010-07-07,3.5,2
1135,A Trace of Danger,,,,,"[53, 10770]",69370,1.4,2010-01-10,3.3,3
1136,Speed-Dating,,,,,"[35, 18, 10749, 53]",55879,1.4,2010-01-01,3.1,6
1137,The Vampire Attack,,,,,[27],454133,1.4,2010-03-02,3.0,1
1138,V Centuria. Searching For a Charmed Treasure,,,,,"[12, 35]",63271,1.4,2010-11-11,3.0,2
1139,Killer by Nature,,,,,"[10749, 80, 18, 53, 12]",60940,1.4,2010-01-01,2.5,2
1140,The Cycle,,,,,[18],108330,1.4,2010-11-20,2.0,1
1141,I Am Virgin,,,,,"[35, 27]",37132,1.4,2010-01-28,1.8,8
1142,The Company We Keep,,,,,[],274037,1.4,2010-10-15,0.5,1
1143,The Parking Lot Movie,,,,,[99],56113,1.398,2010-08-06,6.5,17
1144,My Perestroika,,,,,[99],80597,1.394,2010-01-24,7.6,5
1145,Formosa Betrayed,Scre.,225000.0,101000,2010.0,"[28, 12, 18, 9648, 53]",41616,1.394,2010-02-26,6.3,6
1146,Kings of Pastry,,,,,[99],57722,1.393,2010-06-19,6.7,14
1147,The Boy She Met Online,,,,,"[80, 10749, 53, 9648]",71328,1.391,2010-08-21,3.6,12
1148,Circus Columbia,,,,,"[35, 18, 10749]",63834,1.388,2010-12-20,7.0,12
1149,Pumzi,,,,,"[878, 18]",45167,1.383,2010-07-10,6.6,9
1150,Red Dead Redemption: The Man from Blackwater,,,,,"[16, 37]",175987,1.383,2010-05-29,4.4,4
1151,The Best That Never Was,,,,,[99],54740,1.382,2010-11-09,6.3,6
1152,Porcelain Unicorn,,,,,"[18, 10751, 10752]",94677,1.378,2010-09-20,5.0,1
1153,Takedown,,,,,"[28, 53]",49840,1.375,2010-04-16,5.5,8
1154,A Cloudy Lesson,,,,,[16],130974,1.374,2010-04-01,10.0,1
1155,To Fight For: The Year of Decision,,,,,[18],70048,1.374,2010-01-01,7.0,1
1156,Go Go Reject,,,,,"[35, 10402]",113544,1.374,2010-01-01,6.0,1
1157,The Infernal Comedy: Confessions of a Serial Killer,,,,,"[35, 18, 10402]",63078,1.374,2010-06-08,6.0,1
1158,Mad World,,,,,[],185200,1.374,2010-02-02,5.0,1
1159,A Day Of Violence,,,,,"[80, 53]",49504,1.374,2010-01-01,4.8,4
1160,Bedfellows,,,,,"[18, 35]",117702,1.374,2010-01-01,1.0,1
1161,Vidal Sassoon: The Movie,P4,86000.0,38600,2011.0,[99],81515,1.37,2010-04-23,6.1,4
1162,Vlast (Power),,,,,[],340675,1.366,2010-06-01,6.3,4
1163,Ashes,,,,,"[27, 878, 53]",89369,1.364,2010-01-01,5.3,3
1164,I Didn't Come Here to Die,,,,,"[27, 35]",157161,1.362,2010-10-04,4.5,11
1165,My Trip to Al-Qaeda,,,,,[99],48019,1.359,2010-04-21,5.0,6
1166,Not the Messiah (He's a Very Naughty Boy),,,,,"[35, 10402, 36]",38877,1.357,2010-06-08,6.3,11
1167,Shadowland,,,,,"[27, 53]",51586,1.357,2010-11-30,3.5,3
1168,The Oath,,,,,[99],52918,1.354,2010-05-09,7.7,13
1169,Clarkson: The Italian Job,,,,,"[99, 35]",49720,1.353,2010-11-15,6.6,7
1170,The Swimsuit Issue,,,,,[35],20995,1.351,2010-05-12,5.3,14
1171,Flexing with Monty,,,,,"[35, 18, 27]",73820,1.351,2010-01-05,3.6,5
1172,The Immaculate Conception of Little Dizzle,,,,,"[35, 18]",51511,1.35,2010-05-12,5.4,13
1173,Once Brothers,,,,,[99],54692,1.347,2010-10-12,7.7,18
1174,Lego Star Wars: Bombad Bounty,,,,,"[16, 878, 35, 10751]",79158,1.347,2010-11-27,5.6,7
1175,Psycho Shark,,,,,"[18, 27, 9648]",72021,1.347,2010-10-12,2.8,6
1176,Blood Done Sign My Name,,,,,"[18, 80]",41894,1.346,2010-02-01,6.0,5
1177,Flight of the Cardinal,,,,,[],148802,1.346,2010-07-19,3.8,5
1178,Jean-Michel Basquiat: The Radiant Child,,,,,[99],51486,1.338,2010-01-25,7.3,22
1179,Macbeth,,,,,[18],133448,1.336,2010-10-06,6.6,15
1180,The Fat Boy Chronicles,,,,,"[18, 10751]",82704,1.335,2010-11-21,6.0,7
1181,Forgive Me For Raping You,,,,,"[27, 53]",49433,1.334,2010-10-19,4.3,4
1182,The Dogfather,,,,,"[28, 10751]",56444,1.334,2010-04-12,3.0,4
1183,Son of Babylon,,,,,"[18, 10749]",56807,1.333,2010-01-01,7.7,7
1184,It's a Wonderful Afterlife,UTV,,1300000,2010.0,"[35, 10749]",42057,1.332,2010-10-08,4.6,12
1185,Bass Ackwards,,,,,"[12, 35]",39830,1.33,2010-01-23,5.1,6
1186,The Devil's Kickers,,,,,"[35, 10751]",63786,1.328,2010-04-04,5.8,10
1187,PG 16...,,,,,"[10749, 35, 18]",51285,1.326,2010-11-11,6.5,10
1188,The Windmill Farmer,,,,,"[16, 10751]",72801,1.325,2010-06-05,6.0,10
1189,Uncorked,,,,,"[18, 10749, 10770]",254053,1.324,2010-03-06,6.0,4
1190,Same Same But Different,,,,,[18],49853,1.321,2010-10-26,6.4,14
1191,Friends and Lovers,,,,,[18],216693,1.321,2010-08-07,6.4,4
1192,Post Mortem,,,,,"[53, 18, 27]",56815,1.321,2010-10-04,6.4,17
1193,Minor Details,,,,,"[12, 10751, 9648]",24886,1.321,2009-02-05,4.8,12
1194,The Buddha,,,,,[99],42291,1.319,2010-04-17,6.2,5
1195,Slime City Massacre,,,,,"[27, 35]",27547,1.319,2010-03-17,3.5,5
1196,The Crush,,,,,[],159518,1.317,2010-04-20,6.2,11
1197,Sella Turcica,,,,,[27],88118,1.309,2010-10-13,4.8,4
1198,Littlerock,,,,,[18],85821,1.306,2010-04-23,7.0,4
1199,Hay Fever,,,,,[10749],65325,1.306,2010-11-13,5.0,5
1200,The Gift,,,,,[878],133194,1.304,2010-04-08,6.6,7
1201,The Eastwood Factor,,,,,"[99, 18]",155060,1.304,2010-02-16,6.3,3
1202,The Stepson,,,,,[],142099,1.304,2010-07-31,5.7,3
1203,Bare Knuckles,,,,,"[28, 12, 18, 53]",38746,1.304,2010-01-01,4.0,3
1204,Stonehenge Apocalypse,,,,,"[28, 12, 878, 53]",39750,1.293,2010-06-12,4.1,38
1205,Africa Light / Gray Zone,,,,,"[99, 12]",29440,1.287,2010-01-30,4.3,3
1206,Last Breath,,,,,"[18, 27, 53]",63705,1.287,2010-06-08,2.3,3
1207,Empty Rooms,,,,,"[18, 27]",216424,1.284,2010-05-19,4.8,5
1208,At the Sinatra Club,,,,,"[28, 80, 18, 53]",67189,1.283,2010-09-01,3.8,4
1209,The Anniversary at Shallow Creek,,,,,"[27, 28, 53]",73197,1.279,2010-05-05,5.7,3
1210,Straight Outta L.A.,,,,,[99],54735,1.279,2010-05-11,5.6,5
1211,Justin Time,,,,,"[12, 14, 28, 878, 10751]",34203,1.278,2010-01-01,7.0,1
1212,Lincz,,,,,"[53, 18]",68780,1.277,2010-09-17,6.6,9
1213,Monogamy,,,,,"[18, 10749]",55895,1.274,2010-04-24,3.5,2
1214,Legends of Flight,,,,,[99],58731,1.272,2010-06-11,5.8,3
1215,Space Tourists,,,,,"[99, 12, 36]",67852,1.269,2010-06-01,5.5,5
1216,Happy Ending,Eros,314000.0,,2014.0,[35],38355,1.269,2010-11-11,4.2,5
1217,Jimi Hendrix: Voodoo Child,,,,,[99],78997,1.258,2010-09-18,7.3,12
1218,"Manson, My Name Is Evil",,,,,"[35, 80, 18]",45622,1.258,2010-09-14,4.4,10
1219,Undocumented,,,,,"[27, 53]",74008,1.256,2010-09-14,6.5,17
1220,Leona Lewis - The Labyrinth Tour,,,,,[10402],62336,1.25,2010-11-29,4.8,2
1221,Unsolved Suburbia,,,,,"[80, 18]",205774,1.25,2010-10-05,3.3,4
1222,Hidden Crimes,,,,,"[80, 9648, 53, 10770]",163407,1.247,2010-05-30,5.3,4
1223,Monstro!,,,,,"[28, 35, 27]",87680,1.247,2010-10-01,5.1,7
1224,Toe to Toe,,,,,"[18, 10749]",39933,1.245,2010-02-26,3.9,4
1225,What in the World Are They Spraying?,,,,,[99],51369,1.244,2010-10-23,7.5,5
1226,Requiem For Detroit?,,,,,[99],34660,1.244,2010-03-13,6.8,5
1227,Elopement,,,,,"[10770, 53]",64449,1.244,2010-05-22,4.7,3
1228,Blood Junkie,,,,,"[12, 35, 27]",97183,1.242,2010-05-20,5.5,4
1229,Hotel Hell Vacation,,,,,[35],158382,1.242,2010-02-07,5.3,9
1230,All That Glitters,,,,,[],371702,1.241,2010-09-25,10.0,1
1231,Alleged,,,,,"[18, 36, 10749]",73479,1.24,2010-09-09,4.3,3
1232,Marcel the Shell with Shoes On,,,,,"[35, 16]",369800,1.236,2010-08-16,4.3,3
1233,Into the Wind,,,,,[99],54681,1.234,2010-09-28,6.1,4
1234,After the Fall,,,,,"[18, 10770]",89269,1.234,2010-10-09,5.8,4
1235,The American Matrix - Age Of Deception,,,,,[99],26214,1.234,2010-01-01,5.0,9
1236,Standing Ovation,,,,,"[35, 10402, 10751]",55567,1.224,2010-07-16,4.3,12
1237,Don't Fade Away,,,,,[18],60524,1.222,2010-02-02,4.4,7
1238,Freaknik: The Musical,,,,,"[16, 35, 10402]",49211,1.22,2010-03-05,3.3,3
1239,Thunder Soul,,,,,"[99, 10402]",72186,1.214,2010-03-13,8.4,4
1240,Vegetarian,,,,,"[18, 10749]",45814,1.214,2010-01-22,6.6,4
1241,Dirty Dancing 3: Capoeira Nights,,,,,[],159410,1.21,2010-09-28,6.0,1
1242,Pink Floyd: Momentary Lapses - The True Story of Pink Floyd,,,,,"[99, 10402]",62162,1.208,2010-06-01,6.0,3
1243,Life's a Beach,,,,,[35],112074,1.206,2010-01-01,3.2,3
1244,Santa Claus Versus the Zombies,,,,,[35],93771,1.206,2010-01-01,2.0,1
1245,"Jehovah's Witnesses - Faith In Action, Part 1: Out Of Darkness",,,,,[],45992,1.204,2010-01-01,7.5,8
1246,Flying Pigs,,,,,"[18, 35]",61101,1.204,2010-12-10,6.1,8
1247,Battle of the Bulbs,,,,,"[18, 35]",150308,1.204,2010-01-01,4.9,7
1248,Dark Metropolis,,,,,[878],55463,1.2,2010-12-07,1.5,2
1249,To Live & Ride in L.A.,,,,,[99],69465,1.197,2010-09-03,7.0,3
1250,A Numbers Game,,,,,"[18, 35, 10749]",36595,1.197,2010-04-15,3.7,3
1251,Joan Rivers: A Piece of Work,,,,,[99],41397,1.195,2010-01-25,6.9,25
1252,Rann,,,,,"[18, 53]",31458,1.195,2010-01-01,6.6,8
1253,All Alone,,,,,[53],119619,1.192,2010-11-23,4.9,6
1254,Fry and Laurie Reunited,,,,,"[99, 35]",245394,1.184,2010-11-24,7.0,3
1255,Animusic HD,,,,,"[16, 10402]",67785,1.184,2010-11-27,6.7,3
1256,Scooter - Live In Hamburg,,,,,[10402],43945,1.184,2010-05-07,5.8,3
1257,Dreams: Cinema of the Subconscious,,,,,[99],334931,1.184,2010-12-07,5.7,3
1258,Phoonk 2,,,,,"[27, 53]",67973,1.184,2010-04-16,5.5,3
1259,New Low,,,,,"[18, 35, 10749]",85455,1.184,2010-01-10,5.0,3
1260,Nightmare Alley,,,,,"[27, 35]",55082,1.184,2010-08-10,4.5,3
1261,Cheech & Chong's Hey Watch This,,,,,"[99, 35]",36566,1.183,2010-04-20,5.4,7
1262,Global Eugenics: Using Medicine to Kill,,,,,[99],26224,1.181,2010-01-01,4.8,6
1263,Good Intentions,,,,,[35],34417,1.179,2010-03-09,5.1,7
1264,David Blaine: What Is Magic?,,,,,[99],135717,1.178,2010-04-18,7.2,15
1265,The Brazen Bull,,,,,"[27, 28, 53]",49346,1.176,2010-11-09,3.8,3
1266,Groupie,,,,,"[27, 53]",44014,1.176,2010-01-01,3.6,6
1267,15 Till Midnight,,,,,"[18, 9648, 878]",66793,1.176,2010-01-01,2.6,4
1268,Darkening Sky,,,,,"[27, 53, 878]",82018,1.174,2010-01-01,4.7,6
1269,El estudiante,,,,,[18],48502,1.171,2010-10-10,7.1,14
1270,The Story Of F***,,,,,"[14, 35, 878, 10751]",47160,1.171,2010-01-01,6.0,1
1271,Teenage Paparazzo,,,,,[99],54994,1.169,2010-01-22,6.7,13
1272,Busty Cops and the Jewel of Denial,,,,,[],149550,1.169,2010-06-19,5.5,2
1273,Gutter King,,,,,[28],39082,1.163,2010-01-01,3.5,2
1274,On Strike for Christmas,,,,,"[18, 10751]",74424,1.161,2011-09-06,4.9,9
1275,Actresses,,,,,"[18, 35]",57265,1.16,2010-05-22,6.8,9
1276,Wisdom Teeth,,,,,"[35, 16]",153599,1.158,2010-12-16,6.4,16
1277,Almost Kings,,,,,[18],62503,1.154,2010-11-11,10.0,2
1278,Holy Wars,,,,,[],156937,1.154,2010-01-01,7.5,2
1279,Kathy Griffin: Does the Bible Belt,,,,,[35],39150,1.154,2010-06-08,7.5,2
1280,Robert Klein: Unfair & Unbalanced,,,,,[35],75384,1.154,2010-06-12,6.5,2
1281,Secrets of the Tribe,,,,,"[99, 10770]",79528,1.154,2010-01-22,5.0,2
1282,Generation Zero,,,,,[99],56104,1.154,2010-01-01,4.5,2
1283,50 For Izzy,,,,,[99],49085,1.154,2010-10-01,4.5,2
1284,True Nature,,,,,[],222624,1.149,2010-01-01,5.8,5
1285,Consent,,,,,[],182483,1.147,2010-02-19,5.7,5
1286,Problem Child: Leslie Jones,,,,,[35],109460,1.145,2010-02-02,6.5,6
1287,Patagonia,,,,,"[18, 12]",12125,1.145,2010-01-01,5.1,5
1288,"Tim and Eric Awesome Show, Great Job! Chrimbus Special",,,,,[35],308979,1.14,2010-10-22,7.2,6
1289,Expecting Mary,,,,,[10751],62505,1.138,2010-11-12,5.5,6
1290,Phobos. Fear Kills,,,,,"[53, 27]",63266,1.136,2010-11-11,3.7,6
1291,N-Secure,,,,,"[18, 80, 53]",66468,1.132,2010-10-15,4.8,6
1292,Altiplano,,,,,[18],83430,1.129,2010-06-07,5.5,4
1293,Person of Interest,,,,,"[80, 18, 9648]",47640,1.127,2010-10-02,6.1,7
1294,Shut Up and Kiss Me,,,,,"[10749, 35]",45769,1.126,2010-09-14,4.8,5
1295,Pure Country 2: The Gift,,,,,"[18, 10402, 10749]",58936,1.125,2010-10-15,6.0,14
1296,The Mother Of Invention,,,,,[35],140489,1.124,2010-06-25,10.0,1
1297,Fixer: The Taking of Ajmal Naqshbandi,,,,,[99],45816,1.124,2010-03-12,8.0,1
1298,Undercurrent,,,,,[18],85101,1.124,2010-11-20,6.0,1
1299,Twisted Path,,,,,"[9648, 53]",57477,1.124,2010-11-01,5.5,1
1300,Truth About Kerry,,,,,"[18, 9648, 53]",102686,1.124,2010-10-16,4.0,1
1301,Inside The Freemasons: The Grand Lodge Uncovered,,,,,[99],61421,1.124,2010-06-29,4.0,1
1302,Rage,,,,,"[18, 27, 878]",85566,1.122,2010-05-01,4.3,4
1303,Morgan and Destiny's Eleventeenth Date: The Zeppelin Zoo,,,,,[10749],53225,1.121,2010-01-01,6.4,11
1304,Reggie Watts: Why Shit So Crazy?,,,,,"[35, 10402]",56275,1.12,2010-07-01,5.3,6
1305,And Everything Is Going Fine,,,,,[99],50779,1.117,2010-12-10,6.5,15
1306,Sundance Skippy,,,,,[],473553,1.114,2010-01-21,8.0,5
1307,"Phil Collins: Going Back - Live at the Roseland Ballroom, NYC",,,,,[10402],51891,1.114,2010-11-01,6.4,5
1308,Growing the Big One,,,,,"[10770, 18, 10749]",76966,1.114,2010-10-26,4.6,8
1309,Cold Creepy Feeling,,,,,[27],88024,1.114,2010-01-24,1.7,5
1310,In Jazz Style,,,,,"[10749, 35]",78853,1.112,2010-11-11,6.3,4
1311,The Maze,,,,,[27],48016,1.106,2010-10-19,4.6,11
1312,The White Meadows,,,,,[18],98238,1.1,2010-04-23,8.2,6
1313,Teen Patti,,,,,"[18, 53]",34418,1.097,2010-02-26,4.2,5
1314,A Christmas Snow,,,,,"[10751, 14, 18, 10770]",124601,1.09,2010-10-08,5.4,7
1315,Endure,,,,,"[9648, 53]",63273,1.084,2010-01-01,7.8,4
1316,Starring Maja,,,,,"[35, 18]",33786,1.084,2010-04-01,6.5,4
1317,Ragada,,,,,"[28, 10749]",54069,1.08,2010-12-24,4.3,3
1318,How Weed Won the West,,,,,[99],34319,1.079,2010-02-17,7.3,5
1319,The Birth of Big Air,,,,,[99],54741,1.072,2010-07-29,6.1,5
1320,Candyman: The David Klein Story,,,,,[99],79462,1.072,2010-01-24,6.0,5
1321,Unrequited,,,,,[],46356,1.072,2010-06-08,4.5,4
1322,Jedi Junkies,,,,,[99],55194,1.07,2010-05-25,5.6,5
1323,A Yakuza's Daughter Never Cries,,,,,[35],62780,1.07,2010-11-11,3.0,2
1324,The Bad Penny,,,,,"[18, 9648, 53]",73295,1.064,2010-04-09,3.5,2
1325,The Ultimate Wave: Tahiti,,,,,[99],62043,1.06,2010-02-12,7.8,6
1326,Jessicka Rabid,,,,,[27],90116,1.059,2010-11-26,3.1,4
1327,Exporting Raymond,,,,,"[35, 99]",64836,1.056,2011-04-29,6.9,21
1328,The American Dream,,,,,"[18, 99]",77826,1.052,2010-01-01,5.6,6
1329,Get Educated: Paathshaala,,,,,"[18, 10751]",37690,1.052,2010-04-16,3.8,6
1330,The Battle for Marjah,,,,,[99],58291,1.036,2010-01-01,7.3,3
1331,Fernando Nation,,,,,[99],54672,1.035,2010-10-26,5.2,3
1332,Mary Last Seen,,,,,[18],208885,1.031,2010-01-22,6.1,11
1333,Grandmother,,,,,[18],72985,1.029,2010-03-10,7.2,5
1334,Don't You Forget About Me,,,,,[99],42273,1.028,2010-07-13,4.2,5
1335,Road to Emmaus,,,,,"[18, 10770]",42369,1.027,2010-03-31,6.6,4
1336,Smash His Camera,,,,,[99],47912,1.026,2010-07-30,7.0,11
1337,Sophie & Sheba,,,,,[10751],134825,1.024,2010-01-01,6.8,3
1338,Bedrooms,,,,,"[18, 10749]",62948,1.024,2010-01-01,3.5,6
1339,The Majestic Plastic Bag,,,,,[],151409,1.022,2010-01-01,7.7,3
1340,Behind the Burly Q,,,,,[99],91911,1.022,2010-04-23,5.5,3
1341,Bear Nation,,,,,[99],110561,1.022,2010-06-20,4.3,3
1342,The Rally to Restore Sanity and/or Fear,,,,,"[35, 99]",82803,1.021,2010-10-30,5.4,4
1343,2Everything2Terrible2: Tokyo Drift,,,,,[35],41130,1.02,2010-08-03,6.6,5
1344,Lee Mack: Going Out Live,,,,,[35],50354,1.016,2010-11-22,7.7,5
1345,The Red Chapel,,,,,"[35, 99]",52249,1.013,2010-01-22,7.1,10
1346,Lennon Naked,,,,,[18],42484,1.012,2010-11-21,5.3,9
1347,A Haunting on Hamilton Street,,,,,"[99, 18, 27]",480937,0.995,2010-10-28,6.0,3
1348,Let the Game Begin,,,,,"[35, 10749]",37160,0.995,2010-05-05,5.0,3
1349,Still Bill,,,,,"[99, 10402]",55063,0.994,2010-01-27,7.5,2
1350,Chameleon,,,,,"[35, 53, 9648]",57330,0.994,2010-01-12,7.3,3
1351,Paul Kalkbrenner: A Live Documentary,,,,,"[99, 10402]",51502,0.994,2010-01-01,6.7,5
1352,One Night in Vegas,,,,,[99],54693,0.994,2010-09-07,6.6,5
1353,All My Friends Are Funeral Singers,,,,,"[18, 35]",40657,0.994,2010-05-25,5.9,5
1354,After-Life,,,,,[18],155711,0.994,2010-01-01,5.5,20
1355,The Striking Truth,,,,,"[99, 18]",69183,0.994,2010-12-02,5.3,5
1356,Infiltration,,,,,[18],68381,0.994,2010-12-09,5.0,1
1357,I Am,,,,,"[99, 18]",41251,0.994,2010-10-01,4.8,5
1358,Severe Clear,,,,,"[35, 99]",48376,0.994,2010-03-12,4.6,5
1359,Astro-Zombies M3: Cloned,,,,,[],262609,0.994,2010-06-19,3.0,2
1360,Mutant Vampire Zombies from the 'Hood!,,,,,"[27, 35]",50142,0.994,2010-05-18,2.8,5
1361,D.C. Sniper,,,,,"[28, 80, 53]",37860,0.994,2010-01-01,2.1,5
1362,My Widow's Husband,,,,,"[35, 80]",78255,0.994,2010-11-11,1.0,1
1363,Held Up,,,,,[35],60961,0.993,2010-01-01,4.8,3
1364,"Burzynski, the Movie",,,,,[99],85721,0.992,2010-10-28,6.9,7
1365,Bold Native,,,,,[18],82531,0.991,2010-11-27,7.3,4
1366,Celine: Through the Eyes of the World,Sony,,119000,2010.0,"[99, 10402]",37925,0.989,2010-02-17,5.9,4
1367,Housewives from Another World,,,,,"[35, 878]",108369,0.988,2010-05-06,5.4,6
1368,Alien Storms,,,,,[99],84546,0.984,2010-06-21,6.8,3
1369,Cole,,,,,"[18, 10749]",97117,0.984,2010-05-01,6.7,3
1370,Jordan Rides the Bus,,,,,[99],54682,0.984,2010-08-29,5.4,4
1371,Freak Dance,,,,,"[10402, 35]",75786,0.984,2010-07-10,5.3,3
1372,The Confidant,,,,,"[35, 53]",45231,0.984,2010-08-24,3.0,3
1373,Racing Dreams,,,,,[99],44671,0.976,2010-05-14,6.6,11
1374,Godkiller: Walk Among Us,,,,,"[16, 878]",52466,0.971,2010-05-25,6.2,10
1375,Tomme tønner,,,,,"[28, 35]",35756,0.971,2010-01-08,5.1,9
1376,"Blur: Live at Hyde Park, London",,,,,[],52917,0.964,2010-01-19,8.8,4
1377,Lost Masterpieces of Pornography,,,,,[],265656,0.964,2010-06-02,7.3,4
1378,The Big Uneasy,,,,,[99],45906,0.964,2010-08-30,6.8,4
1379,Falling Awake,,,,,"[18, 53, 10749]",92286,0.964,2010-01-29,6.4,4
1380,Logan,,,,,"[35, 18, 10751]",44010,0.964,2010-09-10,6.1,4
1381,Life Happens,,,,,[35],144656,0.964,2010-11-01,5.3,4
1382,Justin Bieber - This Is My World,,,,,[],111700,0.964,2010-01-01,5.0,4
1383,Hanna's Gold,,,,,[10751],97932,0.964,2010-01-01,5.0,4
1384,Ladies & Gentlemen: The Rolling Stones,,,,,"[99, 10402]",47246,0.96,1974-01-01,5.1,4
1385,House Swap,,,,,"[27, 53]",232888,0.96,2010-01-01,4.0,11
1386,Electric Light Orchestra - Live The Early Years,,,,,[10402],55030,0.953,2010-08-09,7.0,1
1387,Adını Sen Koy,,,,,[],37427,0.951,2010-08-10,4.7,3
1388,The Genesis Code,,,,,"[18, 10749]",33903,0.951,2010-08-25,1.0,2
1389,Tropic of Blood,,,,,[18],45705,0.95,2010-07-29,5.8,4
1390,American Fetish,,,,,"[9648, 53, 80]",301307,0.95,2010-10-01,4.0,2
1391,Kill or Be Killed,,,,,"[18, 80]",282724,0.949,2010-10-26,6.5,3
1392,Negative Happy Chain Saw Edge,,,,,"[28, 35, 18, 14, 27, 10749]",36172,0.947,2010-03-30,6.5,3
1393,Thomas & Friends: Misty Island Rescue,,,,,"[16, 10751]",76263,0.947,2010-07-03,5.0,2
1394,The Simpsons 20th Anniversary Special – In 3-D! On Ice!,,,,,[99],375848,0.944,2010-01-10,7.0,9
1395,The Penitent Man,,,,,[],145932,0.942,2010-03-29,5.1,11
1396,Some Days Are Better Than Others,,,,,[18],85819,0.935,2011-06-03,5.2,3
1397,Miley Cyrus - Live at the O2,,,,,[10402],416810,0.934,2010-06-21,8.7,3
1398,"Metallica/Slayer/Megadeth/Anthrax: The Big 4 - Live from Sofia, Bulgaria",,,,,"[10402, 99]",51961,0.934,2010-11-02,8.0,3
1399,Janeane Garofalo: If You Will,,,,,[35],55817,0.934,2010-09-14,6.7,3
1400,Gary Moore: Live At Montreux 2010,,,,,[10402],81902,0.934,2010-01-01,5.7,3
1401,The Real Robin Hood,,,,,"[99, 36]",94848,0.934,2010-05-11,5.3,3
1402,Like A Lion,,,,,"[28, 12, 35, 18]",51030,0.934,2010-10-29,5.3,3
1403,Little Love,,,,,"[10749, 18]",76325,0.934,2010-04-13,4.5,3
1404,Extreme Happiness,,,,,[18],65150,0.934,2010-11-11,4.3,3
1405,Atlantis Down,,,,,[878],105191,0.934,2010-10-01,4.0,3
1406,Wendigo: Bound by Blood,,,,,"[28, 27, 878]",90985,0.934,2010-09-24,4.0,3
1407,BIOPHAGE,,,,,[27],99328,0.934,2010-01-01,3.7,3
1408,Desert Son,,,,,"[18, 53]",65996,0.933,2010-03-01,3.0,1
1409,With Great Power: The Stan Lee Story,,,,,[99],86843,0.932,2010-07-24,6.1,10
1410,Buddha Wild: Monk in a Hut,,,,,"[12, 35, 99, 10751]",274175,0.926,2008-12-10,10.0,1
1411,"You Think You're the Prettiest, But You Are the Sluttiest",,,,,[35],129590,0.925,2010-04-28,7.0,2
1412,All American Orgy,,,,,[35],46451,0.923,2010-10-05,2.6,7
1413,"Oh, My Buddha!",,,,,[],126443,0.921,2010-07-10,6.0,1
1414,"Camp Victory, Afghanistan",,,,,[99],62278,0.919,2010-10-03,6.5,2
1415,Who Am I?,,,,,[],51278,0.919,2010-12-20,4.2,9
1416,Four Days in October,,,,,[99],54677,0.917,2010-10-05,6.9,7
1417,Lady Gaga: London Live,,,,,[10402],73446,0.915,2010-01-19,8.0,1
1418,Trader Games,,,,,"[18, 53]",53389,0.915,2010-09-01,5.4,8
1419,Carrie Fisher: Wishful Drinking,,,,,"[99, 35]",52461,0.914,2010-12-10,7.4,15
1420,Red Bull Rampage 2010: The Evolution,,,,,[],54340,0.914,2010-12-01,5.0,2
1421,Steve Byrne: The Byrne Identity,,,,,[35],42334,0.912,2010-07-25,7.0,2
1422,Blackmail Boys,,,,,[],175671,0.912,2010-09-01,4.5,2
1423,Love Shack,,,,,[35],50653,0.912,2010-11-23,3.0,2
1424,Stiff,,,,,[],66670,0.91,2010-11-09,1.0,1
1425,Kitayskaya Babushka,,,,,"[35, 18]",77988,0.908,2010-11-11,1.0,1
1426,Oddsac,,,,,"[99, 10402]",44436,0.906,2010-08-04,5.6,10
1427,Blessed and Cursed,,,,,[],74579,0.904,2010-01-01,8.0,2
1428,Uncle Brian,,,,,[],264039,0.904,2010-03-16,7.0,2
1429,Leave Blank,,,,,[18],172558,0.904,2010-10-27,7.0,2
1430,Deleted Scenes,,,,,[18],120044,0.904,2010-01-01,7.0,2
1431,The Legend of Bruce Lee,,,,,"[28, 18]",287239,0.904,2010-09-21,6.0,2
1432,Caveman,,,,,[35],216624,0.904,2010-08-24,5.8,2
1433,One Night Only at The Village Vanguard,,,,,[10402],58608,0.904,2010-05-04,5.3,2
1434,Santa Preys For X-Mas,,,,,"[27, 35]",34686,0.904,2010-12-25,5.3,2
1435,Refuge,,,,,"[18, 10749]",123271,0.904,2010-01-01,5.0,2
1436,Raspberry Magic,,,,,"[35, 18, 10751]",276022,0.904,2010-07-18,4.5,2
1437,Mike Epps Presents: Live From the Club Nokia,,,,,[35],51920,0.904,2010-09-07,4.3,2
1438,Let There Be Light: The Odyssey of Dark Star,,,,,"[99, 878]",56638,0.904,2010-10-26,4.0,2
1439,Corruption.Gov,,,,,[53],109030,0.904,2010-01-01,3.5,2
1440,The Black List: Volume Three,,,,,[99],445075,0.904,2010-02-08,3.0,2
