,title,studio,domestic_gross,foreign_gross,year,genre_ids,id,popularity,release_date,vote_average,vote_count
56,The Great Mouse Detective,,,,,"[35, 16, 10751]",9994,13.348,1986-07-02,7.1,769
57,The Lovely Bones,,,,,"[14, 18]",7980,13.285,2010-01-15,6.8,2226
58,All About Eve,,,,,[18],705,13.163,2000-10-06,8.2,685
59,True Grit,Par.,171200000.0,81000000,2010.0,"[18, 12, 37]",44264,13.118,2010-12-22,7.2,2816
60,I Spit on Your Grave,Anch.,93100.0,480000,2010.0,"[53, 80, 27]",43947,13.102,2010-10-08,6.3,977
61,Kick-Ass,LGF,48100000.0,48100000,2010.0,"[28, 80]",23483,13.08,2010-04-16,7.1,7540
62,Robot Chicken: Star Wars Episode III,,,,,"[35, 878, 16]",51888,13.062,2010-12-19,7.5,60
63,Salt,Sony,118300000.0,175200000,2010.0,"[28, 9648, 53]",27576,13.025,2010-07-23,6.3,3240
64,Legend of the BoneKnapper Dragon,,,,,"[10770, 16, 14, 10751]",47626,13.013,2010-10-15,6.4,116
65,From Paris with Love,LGF,24100000.0,28700000,2010.0,"[28, 80, 53]",26389,12.862,2010-02-05,6.2,1075
66,Batman: Under the Red Hood,,,,,"[28, 16, 9648]",40662,12.704,2010-07-27,7.7,756
67,Arthur 3: The War of the Two Worlds,,,,,"[16, 12, 14, 10751]",42949,12.679,2010-08-22,5.6,865
68,Tooth Fairy,Fox,60000000.0,52400000,2010.0,"[35, 10751, 14]",23023,12.65,2010-01-22,5.3,1058
69,Machete,Fox,26600000.0,17500000,2010.0,"[28, 35, 53]",23631,12.557,2010-09-03,6.3,1862
70,The Secret in Their Eyes,SPC,6400000.0,27600000,2010.0,"[80, 18, 9648, 10749]",25376,12.531,2010-04-16,7.9,1141
71,Date Night,Fox,98700000.0,53600000,2010.0,[35],35056,12.498,2010-04-08,6.0,1743
72,Due Date,WB,100500000.0,111200000,2010.0,"[35, 18]",41733,12.445,2010-11-04,6.3,2973
73,Repo Men,Uni.,13800000.0,4600000,2010.0,"[28, 878, 53, 80]",31867,12.437,2010-03-19,6.2,976
74,Superman/Shazam!: The Return of Black Adam,,,,,"[16, 28]",43641,12.395,2010-11-09,7.1,140
75,Summer Wars,,,,,[16],28874,12.275,2010-10-13,7.5,447
76,The Karate Kid,Sony,176600000.0,182500000,2010.0,"[28, 12, 18, 10751]",38575,12.256,2010-06-10,6.3,3140
77,Diary of a Wimpy Kid,Fox,64000000.0,11700000,2010.0,"[35, 10751]",33217,12.256,2010-03-19,6.0,736
78,The Crazies,Over.,39100000.0,15700000,2010.0,"[9648, 27, 28]",29427,12.246,2010-02-26,6.2,1036
79,The Girl Who Kicked the Hornet's Nest,MBox,5200000.0,38300000,2010.0,"[28, 53, 80, 9648]",33613,12.235,2010-10-29,7.0,705
80,Little Fockers,Uni.,148400000.0,162200000,2010.0,"[35, 10749]",39451,12.153,2010-12-21,5.6,1883
81,RED,,,,,"[28, 12, 35, 80, 53]",39514,12.082,2010-10-14,6.6,4162
82,Dear John,SGem,80000000.0,35000000,2010.0,"[18, 10749, 10752]",22971,12.048,2010-02-04,6.8,2676
83,Legion,,,,,[27],22894,12.032,2010-01-22,5.3,1154
84,Tales from Earthsea,BV,48500.0,68600000,2010.0,"[12, 14, 16, 878]",37933,12.005,2010-08-13,6.6,502
85,Leap Year,Uni.,25900000.0,6700000,2010.0,"[10749, 35]",25195,11.821,2010-01-08,6.7,990
86,Life As We Know It,,,,,"[35, 10749, 18]",38408,11.806,2010-10-02,6.8,1748
87,The Girl Who Played with Fire,MBox,7600000.0,59500000,2010.0,"[18, 28, 53, 80, 9648]",24253,11.655,2010-07-09,7.0,881
88,Fair Game,,,,,"[18, 53]",38363,11.624,2010-05-20,6.6,384
89,Camp Rock 2: The Final Jam,,,,,"[35, 10402, 10770]",44244,11.542,2010-09-03,6.1,878
90,Green Zone,Uni.,35100000.0,59800000,2010.0,"[10752, 28, 12, 18, 53]",22972,11.519,2010-03-11,6.4,1176
91,Justice League: Crisis on Two Earths,,,,,"[28, 12, 16]",30061,11.498,2010-02-23,7.2,277
92,Remember Me,Sum.,19100000.0,37000000,2010.0,"[18, 10749]",23169,11.453,2010-03-12,7.1,2079
93,127 Hours,FoxS,18300000.0,42400000,2010.0,"[12, 18, 53]",44115,11.435,2010-11-05,7.0,4469
94,Scooby-Doo! Curse of the Lake Monster,,,,,"[9648, 14, 35, 12]",47533,11.372,2010-10-15,5.6,171
95,Piranha 3D,W/Dim.,25000000.0,58200000,2010.0,"[35, 27]",43593,11.302,2010-08-20,5.3,1029
96,Valhalla Rising,,,,,"[12, 18, 28, 14]",37861,11.26,2010-07-16,6.0,582
97,Edge of Darkness,WB,43300000.0,37800000,2010.0,"[80, 18, 9648, 53]",12201,11.252,2010-01-29,6.3,794
98,The Extraordinary Adventures of Adèle Blanc-Sec,,,,,"[14, 12, 28, 9648]",35552,11.221,2010-04-14,6.0,671
99,Valentine's Day,WB (NL),110500000.0,106000000,2010.0,"[35, 10749]",32856,11.187,2010-02-11,5.8,1907
100,The Next Three Days,LGF,21100000.0,46300000,2010.0,"[10749, 18, 53, 80]",43539,11.147,2010-11-19,7.0,1469
101,Kung Fu Panda Holiday,,,,,"[16, 10751, 10770]",50393,11.083,2010-11-26,6.6,110
102,Buried,LGF,1000000.0,18100000,2010.0,"[18, 53, 9648]",26388,10.888,2010-09-24,6.6,1487
103,Ran,,,,,"[28, 18, 36]",11645,10.885,1985-09-26,8.1,600
104,Operation: Endgame,,,,,"[12, 28, 35, 53]",41135,10.799,2010-07-20,4.9,88
105,Gulliver's Travels,Fox,42800000.0,194600000,2010.0,"[35, 12, 10751, 14]",38745,10.768,2010-12-25,5.1,1282
106,Legend of the Guardians: The Owls of Ga'Hoole,WB,55700000.0,84400000,2010.0,"[16, 12, 10751, 14]",41216,10.754,2010-09-24,6.6,1223
107,The Spy Next Door,LGF,24300000.0,20900000,2010.0,"[28, 35, 10751]",23172,10.746,2010-01-15,5.7,650
108,Jackass 3D,,,,,"[35, 99, 28]",16290,10.715,2010-10-15,6.3,655
109,The Babysitters,,,,,[18],13078,10.71,2008-05-09,5.3,125
110,District 13: Ultimatum,,,,,"[28, 53, 80]",15357,10.661,2010-02-05,6.1,555
111,[REC]²,,,,,"[53, 27]",10664,10.66,2010-07-09,6.5,920
112,Open Season 3,,,,,"[12, 16, 10751, 35]",51170,10.614,2010-01-25,5.5,237
113,Morning Glory,Par.,31000000.0,29000000,2010.0,"[35, 18, 10749]",38357,10.595,2010-11-10,6.3,717
114,Harry Brown,Gold.,1800000.0,8500000,2010.0,"[53, 80, 18, 28]",25941,10.555,2010-04-30,6.8,505
115,Cats & Dogs: The Revenge of Kitty Galore,WB,43600000.0,68900000,2010.0,"[35, 10751, 28, 14]",39691,10.544,2010-07-30,4.9,273
116,The Fighter,Par.,93600000.0,35600000,2010.0,[18],45317,10.395,2010-12-17,7.3,2325
117,9 Songs,,,,,"[18, 10402, 10749]",27,10.332,2004-09-09,4.9,170
118,The Tourist,Sony,67600000.0,210700000,2010.0,"[28, 53, 10749]",37710,10.307,2010-12-10,6.1,3133
119,The Cutting Edge: Fire & Ice,,,,,"[18, 10749]",40080,10.303,2010-03-14,6.0,63
120,Forbidden Planet,,,,,[878],830,10.274,1956-03-15,7.3,388
121,Barbie in A Mermaid Tale,,,,,"[16, 10751, 14]",34134,10.252,2010-03-01,6.7,282
122,Ip Man,,,,,"[18, 28, 36]",14756,10.23,2010-10-01,7.7,1906
123,Killers,LGF,47100000.0,51100000,2010.0,"[28, 35, 53, 10749]",37821,10.221,2010-06-04,5.8,1314
124,You Again,BV,25700000.0,6300000,2010.0,"[35, 10749]",38303,10.208,2010-09-24,6.2,734
125,Devil,Uni.,33600000.0,29100000,2010.0,"[27, 9648, 53]",44040,10.203,2010-09-17,5.9,1516
126,The Losers,WB,23600000.0,5800000,2010.0,"[28, 12, 80, 9648, 53]",34813,10.202,2010-04-23,6.2,844
127,Animal Kingdom,SPC,1000000.0,5700000,2010.0,"[18, 53, 80, 9648]",44629,10.188,2010-08-13,6.8,399
128,Wall Street: Money Never Sleeps,Fox,52500000.0,82300000,2010.0,"[18, 80]",33909,10.177,2010-09-20,6.0,797
129,Monsters,Magn.,237000.0,4000000,2010.0,"[18, 53, 878]",43933,10.175,2010-10-29,6.2,848
130,Hot Tub Time Machine,MGM,50300000.0,14300000,2010.0,"[878, 35, 12]",23048,10.15,2010-03-26,6.0,1383
131,A Matter of Loaf and Death,,,,,"[16, 35, 10751, 80, 9648]",14447,10.1,2010-02-19,7.2,219
132,Love & Other Drugs,,,,,"[18, 35, 10749]",43347,10.09,2010-11-24,6.9,2509
133,16 Wishes,,,,,"[14, 18, 10751]",40205,10.068,2010-06-25,5.9,688
134,Never Let Me Go,FoxS,2400000.0,7000000,2010.0,"[18, 10749, 878]",42188,10.012,2010-09-15,6.8,1294
135,It's Kind of a Funny Story,Focus,6400000.0,128000,2010.0,"[35, 18]",43923,10.01,2010-10-08,7.0,1324
136,Eat Pray Love,Sony,80600000.0,124000000,2010.0,[18],38167,9.991,2010-08-12,6.0,1208
137,Sex and the City 2,WB (NL),95300000.0,193000000,2010.0,"[35, 18, 10749]",37786,9.986,2010-05-27,5.9,809
138,Four Lions,Drft.,305000.0,4400000,2010.0,"[35, 80, 18]",37495,9.968,2010-11-05,7.0,621
139,When in Rome,BV,32700000.0,10400000,2010.0,"[35, 14, 10749]",13477,9.926,2010-01-29,5.9,703
140,The Bounty Hunter,Sony,67099999.0,69300000,2010.0,"[28, 35, 18]",27573,9.861,2010-03-19,5.7,1627
141,Winter's Bone,RAtt.,6500000.0,7300000,2010.0,[18],39013,9.824,2010-06-11,6.9,931
142,Waiting for Forever,,,,,"[18, 10749]",52338,9.819,2010-02-10,5.7,172
143,My Soul to Take,Uni.,14700000.0,6200000,2010.0,"[18, 27, 9648, 53]",43931,9.808,2010-10-08,5.4,247
144,A Nightmare on Elm Street,,,,,"[27, 9648, 53]",23437,9.795,2010-04-30,5.5,1408
145,Flipped,WB,1800000.0,,2010.0,"[10749, 18]",43949,9.781,2010-08-06,7.4,859
146,Let Me In,Over.,12100000.0,12000000,2010.0,"[18, 27, 9648]",41402,9.716,2010-10-01,6.7,1061
147,Unthinkable,,,,,"[18, 53]",38199,9.693,2010-06-15,6.7,623
148,Frozen,BV,400700000.0,875700000,2013.0,[53],44363,9.678,2010-02-05,5.8,987
149,Smokin' Aces 2: Assassins' Ball,,,,,"[28, 35, 80, 53]",29564,9.565,2010-01-19,5.4,141
150,Enter the Void,IFC,336000.0,418000,2010.0,"[14, 18]",34647,9.563,2010-09-24,7.3,773
151,Bereavement,,,,,"[80, 27]",55890,9.55,2010-07-16,5.3,71
152,Inside Job,SPC,4300000.0,3600000,2010.0,[99],44639,9.514,2010-10-08,7.8,466
153,Mother's Day,ORF,32500000.0,15900000,2016.0,"[80, 53]",101669,9.496,2010-09-23,6.4,193
154,Carrie,,,,,"[27, 53]",7340,9.467,1976-11-03,7.1,1766
155,Charlie St. Cloud,Uni.,31200000.0,17000000,2010.0,"[18, 10749]",37950,9.454,2010-05-01,6.9,1398
156,Furry Vengeance,Sum.,17600000.0,18600000,2010.0,"[35, 10751]",35169,9.45,2010-04-02,4.6,283
157,Casino Jack,ATO,1000000.0,40700,2010.0,"[80, 35, 18]",45324,9.432,2010-12-17,6.1,149
158,Starstruck,,,,,"[35, 10749, 10770, 10402]",35558,9.406,2010-02-14,6.7,627
159,Beauty & the Briefcase,,,,,"[10749, 35]",39285,9.405,2010-04-18,5.5,250
160,After.Life,Anch.,109000.0,1900000,2010.0,"[18, 27, 9648, 53]",36419,9.395,2009-11-07,5.7,416
161,Another Year,SPC,3200000.0,16500000,2010.0,"[35, 18]",44009,9.394,2010-12-29,7.0,150
162,Letters to Juliet,Sum.,53000000.0,26100000,2010.0,"[35, 18, 10749]",37056,9.394,2010-05-14,6.9,1706
163,Rabbit Hole,LGF,2200000.0,2900000,2010.0,[18],27585,9.389,2010-12-16,6.8,292
164,Wild Target,Free,109000.0,3300000,2010.0,"[28, 35]",44147,9.355,2010-10-29,6.4,356
165,The Last Exorcism,LGF,41000000.0,26700000,2010.0,"[27, 18, 53]",38358,9.35,2010-08-27,5.6,519
166,The Experiment,,,,,"[53, 18]",43549,9.261,2010-07-15,6.5,553
167,Animals United,,,,,"[16, 10751, 35]",50135,9.258,2010-10-07,5.4,151
168,Bitch Slap,Free,17400.0,182000,2010.0,"[18, 28, 35, 53, 80]",26715,9.253,2010-01-08,4.7,148
169,Heartbreaker,IFC,504000.0,46900000,2010.0,"[10749, 35]",41211,9.241,2010-09-10,6.6,761
170,The Last Song,BV,63000000.0,26100000,2010.0,"[18, 10751, 10749]",35690,9.237,2010-03-31,7.2,2199
171,Welcome to the South,,,,,[35],48415,9.188,2010-12-20,6.7,1071
172,Tucker and Dale vs. Evil,,,,,"[35, 27]",46838,9.159,2010-01-22,7.3,1427
173,Yogi Bear,WB,100200000.0,101300000,2010.0,"[35, 10751, 16, 12]",41515,9.096,2010-12-17,5.3,387
174,The Disappearance of Alice Creed,Anch.,167000.0,701000,2010.0,"[80, 18, 53]",38542,9.087,2010-04-30,6.6,280
175,You Don't Know Jack,,,,,[18],36950,9.071,2010-04-14,7.0,176
176,Secretariat,BV,59700000.0,537000,2010.0,[18],39486,9.059,2010-10-08,7.0,200
177,The American,Focus,35600000.0,32299999,2010.0,"[80, 18, 53]",27579,9.042,2010-09-01,5.8,690
178,Blue Valentine,Wein.,9700000.0,2600000,2010.0,"[18, 10749]",46705,8.994,2010-12-29,6.9,1677
179,Vampires Suck,Fox,36700000.0,43900000,2010.0,"[35, 27]",40264,8.992,2010-08-18,4.1,658
180,Incendies,,,,,"[18, 10752, 9648]",46738,8.973,2010-09-04,8.1,1034
181,Takers,SGem,57700000.0,11300000,2010.0,"[28, 80, 18, 53]",22907,8.969,2010-08-26,6.2,605
182,"Family Guy Presents: Something, Something, Something, Dark Side",,,,,"[16, 35, 878]",278604,8.956,2010-05-23,7.1,194
183,Superman/Batman: Apocalypse,,,,,"[28, 12, 16, 10751, 878]",45162,8.884,2010-09-28,7.0,291
184,Skyline,Uni.,21400000.0,45400000,2010.0,"[878, 28]",42684,8.847,2010-11-12,4.8,833
185,Cop Out,WB,44900000.0,10700000,2010.0,"[28, 35, 80]",23742,8.82,2010-02-26,5.4,796
186,Chloe,SPC,3100000.0,8600000,2010.0,"[18, 53, 9648]",28211,8.807,2010-03-26,5.9,940
187,Stake Land,IFC,33200.0,,2011.0,"[18, 27, 878]",52015,8.799,2010-10-01,6.2,415
188,Fortress of War,,,,,"[10752, 18, 36, 28]",50618,8.769,2010-11-11,7.3,75
189,Cave of Forgotten Dreams,IFC,5300000.0,1200000,2011.0,"[99, 10751]",59490,8.762,2010-11-03,7.3,143
190,The Descent: Part 2,,,,,"[12, 27, 53]",34480,8.741,2010-04-27,6.0,480
191,Titanic 2,,,,,"[28, 12, 53]",44918,8.729,2010-08-24,3.2,90
192,Dante's Inferno: An Animated Epic,,,,,"[28, 12, 16, 27]",31967,8.711,2010-02-09,6.0,102
193,22 Bullets,Cdgm.,,21300000,2013.0,"[28, 80, 53]",37645,8.697,2010-03-24,6.5,508
194,Exit Through the Gift Shop,PDA,3300000.0,2000000,2010.0,[99],39452,8.696,2010-01-24,7.7,467
